state,Variable,Type
Delaware,95668,Gene Hits
Illinois,112463,Gene Hits
Iowa,95361,Gene Hits
Kansas,95957,Gene Hits
Louisiana,87591,Gene Hits
Mississippi,100205,Gene Hits
Missouri,116032,Gene Hits
Nebraska,99095,Gene Hits
Oklahoma,102209,Gene Hits
South Carolina,122124,Gene Hits
Texas,124433,Gene Hits
Vermont,97654,Gene Hits
Wisconsin,111535,Gene Hits
Wyoming,85115,Gene Hits
New Hampshire,93491,Gene Hits
Rhode Island,90606,Gene Hits
