location_name,Disease,Var,Incidence,Prevalence,Label,RankVal
Alabama,Alzheimer's Disease,55.1724349157734,183.651297284712,1389.06505723321,0,0.477419660975032
Alabama,Multiple Sclerosis,31.0751612903226,2.56894680439416,103.561954426802,1,0.173267265851898
Alabama,Parkinson Disease,40.0781779008926,45.1086880861181,157.216033851898,0,0.264814175199078
Arizona,Alzheimer's Disease,62.4974076474401,191.041043990159,1383.15767569293,0,0.966328445239745
Arizona,Multiple Sclerosis,34.371990505256,3.10164204097261,118.899274501885,0,0.577110308671548
Arizona,Parkinson Disease,44.6273875040466,49.0379557829478,188.740329348325,2,0.7720252026025
Arkansas,Alzheimer's Disease,50.4373514431239,192.93033068765,1406.33386592482,1,0.191077321617308
Arkansas,Multiple Sclerosis,29.6875901875902,2.50431759472485,95.4348689899128,1,0.0706936354757529
Arkansas,Parkinson Disease,37.6223967224309,39.7051937086139,135.336189632865,1,0.0671384101975816
California,Alzheimer's Disease,56.2604298356511,170.890843957619,1209.88363516809,1,0.450794198993412
California,Multiple Sclerosis,32.6679321125503,2.60084290609488,92.2794762860933,1,0.237234186667591
California,Parkinson Disease,40.9141955835962,42.6570787640437,176.147353196413,0,0.339988566983954
Colorado,Alzheimer's Disease,58.1806563039724,178.108974484281,1289.53791677092,0,0.606559705645427
Colorado,Multiple Sclerosis,31.7451051486585,4.43331667508891,170.290931995203,0,0.62731242550666
Colorado,Parkinson Disease,41.1836451836452,45.6667030769096,179.914550146534,0,0.401187279461236
Connecticut,Alzheimer's Disease,63.8016494845361,242.579338794861,1808.95144112275,2,1.57590046923522
Connecticut,Multiple Sclerosis,35.8395328719723,3.8034519095293,165.742248032351,2,1.2121075366202
Connecticut,Parkinson Disease,45.9331383201003,49.0449515483868,206.389320805036,2,0.975619256804299
Delaware,Alzheimer's Disease,63.2810094097519,205.001080271807,1498.30846166423,2,1.15458717962665
Delaware,Multiple Sclerosis,34.0952168082253,3.46445715634636,145.54817303248,0,0.757983145676508
Delaware,Parkinson Disease,45.2198460222412,44.7227098554877,163.98365002737,0,0.630746084840715
Florida,Alzheimer's Disease,58.7868383404864,256.464817963793,1902.91733544823,2,1.17847269109557
Florida,Multiple Sclerosis,32.5244818263743,2.47857251121869,109.60009967049,0,0.278142202897243
Florida,Parkinson Disease,42.3171780900488,56.8970878076551,227.905106035488,2,0.786512117671387
Georgia,Alzheimer's Disease,55.8775172413793,149.213338507527,1099.74641009135,1,0.340130799020132
Georgia,Multiple Sclerosis,31.6900958466454,2.72550297609724,102.616478193857,1,0.227430343099296
Georgia,Parkinson Disease,40.3923034330011,38.716381514299,137.57416214212,1,0.18580927242165
Idaho,Alzheimer's Disease,59.2903625658506,166.654811662179,1221.45261046928,0,0.597664236419238
Idaho,Multiple Sclerosis,33.4499507712504,4.36765989078352,160.64010333069,2,0.892566276575266
Idaho,Parkinson Disease,41.8680361033302,46.9131736738209,176.048310073426,0,0.45978415405218
Illinois,Alzheimer's Disease,56.8172043010753,194.525388477769,1416.30802292335,0,0.621004898653991
Illinois,Multiple Sclerosis,32.6544574982723,3.36281776135228,126.779997782658,0,0.478234008906447
Illinois,Parkinson Disease,40.4817232375979,43.9804117819143,172.003919516365,0,0.312894693315986
Indiana,Alzheimer's Disease,57.1525779376499,214.833204188008,1640.36485485092,0,0.786836310453729
Indiana,Multiple Sclerosis,32.7071315372425,3.25411021923213,122.015740064721,0,0.449878912966769
Indiana,Parkinson Disease,41.1939083232811,49.374029292763,192.91331239643,0,0.474845695821492
Iowa,Alzheimer's Disease,55.8629247804506,204.903898403608,1405.84058403825,0,0.580027450329242
Iowa,Multiple Sclerosis,32.1751412429379,3.15516534856936,118.540884196405,0,0.36978132589079
Iowa,Parkinson Disease,39.668449197861,46.5931187579085,183.686630188201,0,0.295006027608714
Kansas,Alzheimer's Disease,54.2994868035191,199.60968859069,1469.48113219243,0,0.476801402331558
Kansas,Multiple Sclerosis,30.5569718037853,3.28441410018523,119.682952556173,1,0.222164759484889
Kansas,Parkinson Disease,38.8321087435709,51.2259825295311,208.101747504703,0,0.285295569652435
Kentucky,Alzheimer's Disease,57.6430429128739,202.404492728947,1516.51883977495,0,0.740014830975249
Kentucky,Multiple Sclerosis,32.6828679765598,2.95604387978677,119.968948431635,0,0.397138514219085
Kentucky,Parkinson Disease,41.000653381248,50.3432212129509,188.373725234362,0,0.45606295701372
Louisiana,Alzheimer's Disease,49.4321258690084,194.612803801738,1488.53285357638,1,0.131617826349354
Louisiana,Multiple Sclerosis,29.2431281455672,2.2766345884621,86.1513344730687,1,0.0326878945710714
Louisiana,Parkinson Disease,37.2497237569061,46.7014451667871,175.107109521553,1,0.0898960976247128
Maine,Alzheimer's Disease,63.333850129199,254.150005046145,1883.53602751439,2,1.63216017421312
Maine,Multiple Sclerosis,35.3821138211382,3.6221216306249,164.882861289634,2,1.09008251574487
Maine,Parkinson Disease,46.2100313479624,68.4895294407783,276.904965714614,2,1.77384625729833
Maryland,Alzheimer's Disease,57.8913657770801,202.47957256285,1540.06864073941,0,0.767942340863205
Maryland,Multiple Sclerosis,32.3699536730642,3.47711656822518,135.474778196827,0,0.492807373859104
Maryland,Parkinson Disease,41.2060031595577,44.883789927729,175.803669970612,0,0.384119989387682
Massachusetts,Alzheimer's Disease,64.2549335481273,237.057759217269,1775.8541035194,2,1.57015113422818
Massachusetts,Multiple Sclerosis,35.9626960576516,3.99874986511203,158.197105214185,2,1.22860571610395
Massachusetts,Parkinson Disease,46.4020408163265,50.7856764272573,209.854766051344,2,1.078123257071
Michigan,Alzheimer's Disease,57.403772472738,233.085800008891,1787.50578490159,0,0.918814683783973
Michigan,Multiple Sclerosis,32.4499072356215,4.0497415166024,164.604201573863,0,0.687579818705142
Michigan,Parkinson Disease,41.4755120213713,52.9991930086051,206.560214960874,0,0.578797114308595
Minnesota,Alzheimer's Disease,55.5255829015544,191.305688318083,1420.59326101927,0,0.527968086914844
Minnesota,Multiple Sclerosis,31.9776632302406,3.78138016519678,143.405887965433,0,0.505899933927963
Minnesota,Parkinson Disease,39.2454604409857,45.8207609871214,183.284231418775,0,0.254116577105566
Mississippi,Alzheimer's Disease,51.761872909699,169.385610622705,1236.36904915091,1,0.220461291952857
Mississippi,Multiple Sclerosis,29.8441926345609,2.08189449280306,76.5552283992881,1,0.0344806810585502
Mississippi,Parkinson Disease,38.7585743106927,38.2607176036952,125.269319531662,1,0.0963279561290219
Missouri,Alzheimer's Disease,52.9763967732298,222.562573344265,1670.79941311553,1,0.463978382239779
Missouri,Multiple Sclerosis,31.2883083784645,3.30878578302412,130.585092387579,0,0.329124847970655
Missouri,Parkinson Disease,38.8111510791367,54.1386108914922,217.789504291363,0,0.312805177480304
Montana,Alzheimer's Disease,55.1117647058824,226.020560147788,1630.52616702313,0,0.642589128646319
Montana,Multiple Sclerosis,31.3776397515528,4.54811617284947,184.338465418355,0,0.60774303068171
Montana,Parkinson Disease,39.181068342498,54.1639651610159,201.108197772322,0,0.330693434182597
Nebraska,Alzheimer's Disease,58.1681148469966,196.090972557107,1436.4984976957,0,0.724932546374595
Nebraska,Multiple Sclerosis,31.3592156862745,3.85416758491753,141.164685288367,0,0.419154323039288
Nebraska,Parkinson Disease,40.8348382242287,39.6195704473452,150.544389361403,1,0.244236823851697
