State,Region,Disease,PestHits,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,3265,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,2879,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,3040,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,2435,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,3100,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,3249,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,3086,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,2759,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,2895,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,2405,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,2949,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,3089,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,2945,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,2510,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,2753,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,2099,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,2772,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,2929,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,4746,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,4180,7.803850909094,25.9252721594367
California,West,Epilepsy,4441,37.3300058336087,321.690441999979
California,West,Migraine Disorders,3618,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,4478,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,4755,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,2895,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,2483,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,2716,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,2027,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,2758,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,2886,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,2425,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,2140,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,2258,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,1916,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,2312,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,2393,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,2338,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,2066,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,2191,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,1761,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,2237,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,2338,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,3495,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,3126,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,3259,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,2682,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,3329,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,3487,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,3625,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,3170,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,3376,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,2715,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,3443,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,3612,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,3227,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,2795,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,3024,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,2353,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,3047,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,3213,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,3069,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,2632,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,2864,39.5657020878101,354.527679590522
Illinois,Midwest,Migraine Disorders,2231,1173.51431112226,17473.7046435504
Illinois,Midwest,Multiple Sclerosis,2894,3.36281776135228,126.779997782658
Illinois,Midwest,Parkinson Disease,3064,43.9804117819143,172.003919516365
Indiana,Midwest,Alzheimer's Disease,3336,214.833204188008,1640.36485485092
Indiana,Midwest,Brain Neoplasms,2878,8.83666787188063,23.3323332808357
Indiana,Midwest,Epilepsy,3118,41.0913302312354,374.124911273584
Indiana,Midwest,Migraine Disorders,2454,1174.83098154373,17197.5104980886
Indiana,Midwest,Multiple Sclerosis,3155,3.25411021923213,122.015740064721
Indiana,Midwest,Parkinson Disease,3316,49.374029292763,192.91331239643
Iowa,Midwest,Alzheimer's Disease,2619,204.903898403608,1405.84058403825
Iowa,Midwest,Brain Neoplasms,2219,8.83866844387833,18.8117507284709
Iowa,Midwest,Epilepsy,2447,34.6213487652555,293.024327021986
Iowa,Midwest,Migraine Disorders,1878,1140.97173260894,16768.3754785885
Iowa,Midwest,Multiple Sclerosis,2478,3.15516534856936,118.540884196405
Iowa,Midwest,Parkinson Disease,2618,46.5931187579085,183.686630188201
Kansas,Midwest,Alzheimer's Disease,2728,199.60968859069,1469.48113219243
Kansas,Midwest,Brain Neoplasms,2317,9.11342971117137,26.3783184659831
Kansas,Midwest,Epilepsy,2547,39.2077192155195,342.950365807196
Kansas,Midwest,Migraine Disorders,1920,1180.83432649245,16944.82494575
Kansas,Midwest,Multiple Sclerosis,2589,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,2722,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,3076,202.404492728947,1516.51883977495
Kentucky,Southeast,Brain Neoplasms,2660,9.83311721623363,25.1464510013759
Kentucky,Southeast,Epilepsy,2862,42.3829301931061,393.561658890618
Kentucky,Southeast,Migraine Disorders,2236,1149.61470188107,17156.8321119236
Kentucky,Southeast,Multiple Sclerosis,2901,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,3061,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,2733,194.612803801738,1488.53285357638
Louisiana,Southeast,Brain Neoplasms,2341,7.80451027374807,17.4770005488858
Louisiana,Southeast,Epilepsy,2553,42.9666750839048,390.906260307068
Louisiana,Southeast,Migraine Disorders,1964,1174.95245953268,17211.2129132608
Louisiana,Southeast,Multiple Sclerosis,2583,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,2715,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,1935,254.150005046145,1883.53602751439
Maine,Northeast,Brain Neoplasms,1689,10.6096767432606,27.8411964716589
Maine,Northeast,Epilepsy,1781,37.2507854287971,343.064644178192
Maine,Northeast,Migraine Disorders,1502,1060.60003902106,17004.4641409534
Maine,Northeast,Multiple Sclerosis,1845,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,1914,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,3185,202.47957256285,1540.06864073941
Maryland,Northeast,Brain Neoplasms,2784,7.94741612852429,22.5014905226228
Maryland,Northeast,Epilepsy,2966,39.46347745119,353.878574462453
Maryland,Northeast,Migraine Disorders,2356,1167.1181522855,17752.900743255
Maryland,Northeast,Multiple Sclerosis,3022,3.47711656822518,135.474778196827
Maryland,Northeast,Parkinson Disease,3165,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,2483,237.057759217269,1775.8541035194
Massachusetts,Northeast,Brain Neoplasms,2194,9.9145269880391,30.377619298294
Massachusetts,Northeast,Epilepsy,2303,40.7778003653311,384.097639558942
Massachusetts,Northeast,Migraine Disorders,1965,1144.15954618357,17688.9244955588
Massachusetts,Northeast,Multiple Sclerosis,2359,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,2450,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,3393,233.085800008891,1787.50578490159
Michigan,Midwest,Brain Neoplasms,2973,9.09046549007823,21.3049542221727
Michigan,Midwest,Epilepsy,3184,44.7461980314354,430.492313980339
Michigan,Midwest,Migraine Disorders,2562,1100.07282635307,15962.6906937225
Michigan,Midwest,Multiple Sclerosis,3234,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,3369,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,3088,191.305688318083,1420.59326101927
Minnesota,Midwest,Brain Neoplasms,2635,9.4191461708931,31.3578432837352
Minnesota,Midwest,Epilepsy,2896,37.494488767748,322.840090241148
Minnesota,Midwest,Migraine Disorders,2198,1152.90559612363,17080.3447603516
Minnesota,Midwest,Multiple Sclerosis,2910,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,3084,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,2990,169.385610622705,1236.36904915091
Mississippi,Southeast,Brain Neoplasms,2592,8.78392132795706,19.0960144158632
Mississippi,Southeast,Epilepsy,2794,36.3970932569357,310.849497891316
Mississippi,Southeast,Migraine Disorders,2183,1183.15764229126,17248.0979138891
Mississippi,Southeast,Multiple Sclerosis,2824,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,2974,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,3347,222.562573344265,1670.79941311553
Missouri,Midwest,Brain Neoplasms,2869,8.75862991699552,23.502072539434
Missouri,Midwest,Epilepsy,3115,39.8465140826062,363.301599043507
Missouri,Midwest,Migraine Disorders,2440,1151.93968726538,17135.5374427897
Missouri,Midwest,Multiple Sclerosis,3139,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,3336,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,2550,226.020560147788,1630.52616702313
Montana,West,Brain Neoplasms,2181,9.54355213167812,25.7592474959409
Montana,West,Epilepsy,2394,40.5323851743432,371.897401387271
Montana,West,Migraine Disorders,1755,1097.02149074877,16661.1997591066
Montana,West,Multiple Sclerosis,2415,4.54811617284947,184.338465418355
Montana,West,Parkinson Disease,2546,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,2647,196.090972557107,1436.4984976957
Nebraska,Midwest,Brain Neoplasms,2279,9.32393399866066,28.1530815008694
Nebraska,Midwest,Epilepsy,2522,35.5221218446176,292.473502123433
Nebraska,Midwest,Migraine Disorders,1869,1168.62558499515,16829.9015184492
Nebraska,Midwest,Multiple Sclerosis,2550,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,2658,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,2947,138.112964584795,977.427242714465
Nevada,West,Brain Neoplasms,2560,7.35310040341174,20.0833988637153
Nevada,West,Epilepsy,2745,39.7481361746944,363.457094919837
Nevada,West,Migraine Disorders,2191,1187.73470493987,17543.0725276925
