State,Region,Disease,PestHits,Incidence,Prevalence
Nevada,West,Multiple Sclerosis,2777,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,2942,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,2189,230.593101614132,1709.58248353359
New Hampshire,Northeast,Brain Neoplasms,1927,10.0895298058054,29.4810257058838
New Hampshire,Northeast,Epilepsy,2039,35.9753590135229,324.595405648681
New Hampshire,Northeast,Migraine Disorders,1732,1097.52995141108,17334.9696085837
New Hampshire,Northeast,Multiple Sclerosis,2078,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,2158,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,2845,211.942200507771,1551.39029609126
New Jersey,Northeast,Brain Neoplasms,2482,10.5417266913429,45.2646187971105
New Jersey,Northeast,Epilepsy,2642,43.1546228309835,400.420909399208
New Jersey,Northeast,Migraine Disorders,2179,1141.61630270974,17403.6903922091
New Jersey,Northeast,Multiple Sclerosis,2695,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,2819,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,3367,205.662049525738,1481.98151579545
New Mexico,Southwest,Brain Neoplasms,2920,7.68747160396426,22.5028894389215
New Mexico,Southwest,Epilepsy,3153,42.7228565939195,363.440430860146
New Mexico,Southwest,Migraine Disorders,2489,1158.08543271433,17005.581679644
New Mexico,Southwest,Multiple Sclerosis,3197,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,3354,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,3019,225.444833621701,1670.76188227628
New York,Northeast,Brain Neoplasms,2637,7.62609517501325,23.2328864325017
New York,Northeast,Epilepsy,2802,43.5086086525538,408.835774152943
New York,Northeast,Migraine Disorders,2312,1149.86863165371,17601.1249224125
New York,Northeast,Multiple Sclerosis,2857,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,2994,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,3589,181.133259107328,1318.74113841672
North Carolina,Southeast,Brain Neoplasms,3146,8.30914076835556,21.758032721612
North Carolina,Southeast,Epilepsy,3346,36.3416834303401,314.960768662457
North Carolina,Southeast,Migraine Disorders,2682,1174.98022018846,17476.7083803161
North Carolina,Southeast,Multiple Sclerosis,3398,3.02481156645244,120.444627612992
North Carolina,Southeast,Parkinson Disease,3561,45.3186915842446,167.277627621189
North Dakota,Midwest,Alzheimer's Disease,2198,243.98553993377,1831.89797416004
North Dakota,Midwest,Brain Neoplasms,1883,9.69006094560804,28.8700675727676
North Dakota,Midwest,Epilepsy,2081,38.3140257002469,330.865396055788
North Dakota,Midwest,Migraine Disorders,1535,1132.63440152179,16678.2597780845
North Dakota,Midwest,Multiple Sclerosis,2092,4.14230958394942,148.997646106916
North Dakota,Midwest,Parkinson Disease,2196,46.3377523014818,185.345475043528
Ohio,Midwest,Alzheimer's Disease,3471,232.944539848321,1765.74700710752
Ohio,Midwest,Brain Neoplasms,2994,9.09452039295945,22.8372600481125
Ohio,Midwest,Epilepsy,3255,42.3518743968742,398.856195918577
Ohio,Midwest,Migraine Disorders,2540,1137.96396529759,17111.5747379893
Ohio,Midwest,Multiple Sclerosis,3281,3.61073632441671,144.657987137699
Ohio,Midwest,Parkinson Disease,3460,52.5493762590309,203.814039972354
Oklahoma,Southwest,Alzheimer's Disease,3024,198.019126217243,1465.00391026505
Oklahoma,Southwest,Brain Neoplasms,2597,8.41896119578026,20.6624320339167
Oklahoma,Southwest,Epilepsy,2847,40.0577826435665,359.530501808576
Oklahoma,Southwest,Migraine Disorders,2182,1176.96200881504,17035.632687883
Oklahoma,Southwest,Multiple Sclerosis,2891,2.6316694725895,94.7401526740191
Oklahoma,Southwest,Parkinson Disease,3020,45.1695065135932,160.98991485369
Oregon,West,Alzheimer's Disease,3571,205.851029637481,1503.89968167694
Oregon,West,Brain Neoplasms,3107,9.88024179003331,29.371961217356
Oregon,West,Epilepsy,3368,36.1066296428649,316.013527009973
Oregon,West,Migraine Disorders,2641,1133.35431162333,17273.1252617715
Oregon,West,Multiple Sclerosis,3389,3.98668055570305,156.093882689611
Oregon,West,Parkinson Disease,3557,50.1947393596782,186.984991126826
Pennsylvania,Northeast,Alzheimer's Disease,3328,244.557059730533,1811.55327706982
Pennsylvania,Northeast,Brain Neoplasms,2894,9.18607152263854,24.6896807701945
Pennsylvania,Northeast,Epilepsy,3102,40.7125319827659,388.793604381985
Pennsylvania,Northeast,Migraine Disorders,2472,1117.389425494,17174.9795189646
Pennsylvania,Northeast,Multiple Sclerosis,3162,3.82373111962932,160.069154132544
Pennsylvania,Northeast,Parkinson Disease,3310,54.8118599605218,220.332992807956
Rhode Island,Northeast,Alzheimer's Disease,2085,255.475970846781,1935.31252831537
Rhode Island,Northeast,Brain Neoplasms,1844,9.34390471869128,27.1289909029092
Rhode Island,Northeast,Epilepsy,1947,42.5170264833088,415.538918364719
Rhode Island,Northeast,Migraine Disorders,1657,1137.3882046368,17631.3482992026
Rhode Island,Northeast,Multiple Sclerosis,1990,4.72786610036684,194.324215924951
Rhode Island,Northeast,Parkinson Disease,2068,48.4082674370117,191.861127302062
South Carolina,Southeast,Alzheimer's Disease,3368,189.565708062693,1382.19257849726
South Carolina,Southeast,Brain Neoplasms,2955,8.73615041003546,20.6866172904784
South Carolina,Southeast,Epilepsy,3144,38.2008665938663,344.068926592577
South Carolina,Southeast,Migraine Disorders,2523,1150.78814758099,17284.7658018775
South Carolina,Southeast,Multiple Sclerosis,3196,2.75116321058522,110.759654020835
South Carolina,Southeast,Parkinson Disease,3344,46.8225636489553,167.30486066352
South Dakota,Midwest,Alzheimer's Disease,2298,195.473008341809,1372.57852137616
South Dakota,Midwest,Brain Neoplasms,1949,10.0122967630153,28.9296126737972
South Dakota,Midwest,Epilepsy,2185,41.8410924450787,380.214653817099
South Dakota,Midwest,Migraine Disorders,1614,1142.23850695376,16478.6541377528
South Dakota,Midwest,Multiple Sclerosis,2195,3.9021813727345,147.803429144902
South Dakota,Midwest,Parkinson Disease,2303,41.7436666163086,167.813601381659
Tennessee,Southeast,Alzheimer's Disease,3506,195.099507502469,1453.85438183995
Tennessee,Southeast,Brain Neoplasms,3044,8.94602965008836,21.82396653317
Tennessee,Southeast,Epilepsy,3264,38.7152442997388,350.189383667798
Tennessee,Southeast,Migraine Disorders,2578,1162.83205061202,17374.2131248891
Tennessee,Southeast,Multiple Sclerosis,3300,2.89071157709392,115.19718362145
Tennessee,Southeast,Parkinson Disease,3481,44.5346294747352,160.546537812451
Texas,Southwest,Alzheimer's Disease,3578,164.678279180272,1237.189887684
Texas,Southwest,Brain Neoplasms,3102,7.32401431298066,21.4114186911242
Texas,Southwest,Epilepsy,3380,37.073241893278,343.893513002163
Texas,Southwest,Migraine Disorders,2635,1238.70225650034,17448.9655046486
Texas,Southwest,Multiple Sclerosis,3410,2.4198645723701,86.4050293947688
Texas,Southwest,Parkinson Disease,3572,39.9441937092265,155.616632513869
Utah,West,Alzheimer's Disease,2408,100.01967729575,709.387167355901
Utah,West,Brain Neoplasms,2057,6.91502624739812,21.3396873204992
Utah,West,Epilepsy,2243,35.9829750443652,288.433247842865
Utah,West,Migraine Disorders,1716,1311.67151783465,17131.3216079828
Utah,West,Multiple Sclerosis,2278,5.35515895682654,168.19507999845
Utah,West,Parkinson Disease,2401,31.6411409125155,115.854495857215
Vermont,Northeast,Alzheimer's Disease,2327,229.170088152368,1649.0958061531
Vermont,Northeast,Brain Neoplasms,2028,9.60533245968774,27.1793228967089
Vermont,Northeast,Epilepsy,2145,36.0463669055615,323.011999477197
Vermont,Northeast,Migraine Disorders,1813,1082.05480781595,17134.7571221261
Vermont,Northeast,Multiple Sclerosis,2187,3.78979775344571,165.813112458995
Vermont,Northeast,Parkinson Disease,2295,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,3504,186.533443133339,1380.27367930327
Virginia,Southeast,Brain Neoplasms,3084,8.09873086849552,23.7011593177197
Virginia,Southeast,Epilepsy,3262,39.53484077308,355.030911549836
Virginia,Southeast,Migraine Disorders,2612,1169.59539588561,17567.400424516
Virginia,Southeast,Multiple Sclerosis,3315,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,3480,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,3456,177.546327658036,1270.29075890444
Washington,West,Brain Neoplasms,3008,8.09282583148802,18.4676159550603
Washington,West,Epilepsy,3251,38.392619954776,335.917487079549
Washington,West,Migraine Disorders,2554,1154.7297999599,17283.0573937232
Washington,West,Multiple Sclerosis,3285,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,3436,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,2879,246.397293208741,1868.78708907877
West Virginia,Southeast,Brain Neoplasms,2498,9.56964721346079,21.1517311637184
West Virginia,Southeast,Epilepsy,2671,41.3973198556138,407.036724015112
West Virginia,Southeast,Migraine Disorders,2105,1086.78437138554,16940.3126224638
West Virginia,Southeast,Multiple Sclerosis,2729,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,2853,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,2986,207.485906784764,1504.62890393489
Wisconsin,Midwest,Brain Neoplasms,2596,9.94590840657885,30.4884052495691
Wisconsin,Midwest,Epilepsy,2774,43.9326962901769,351.657254468725
Wisconsin,Midwest,Migraine Disorders,2220,1139.81088599754,17061.7003150265
Wisconsin,Midwest,Multiple Sclerosis,2833,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,2967,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,2224,173.551599018126,1229.19619872237
Wyoming,West,Brain Neoplasms,1907,8.39136403059217,23.4168901435979
Wyoming,West,Epilepsy,2102,40.1073021983102,351.858148809389
Wyoming,West,Migraine Disorders,1535,1147.05425668036,16758.9145653839
Wyoming,West,Multiple Sclerosis,2114,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,2226,43.1262841847604,154.988867761039
