State,Region,Disease,SNPHits,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,180138,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,141555,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,39065,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,32519,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,96333,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,130214,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,192867,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,149051,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,39730,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,34160,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,101363,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,137854,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,148538,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,123338,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,33098,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,27944,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,82294,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,110196,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,267012,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,217230,7.803850909094,25.9252721594367
California,West,Epilepsy,56205,37.3300058336087,321.690441999979
California,West,Migraine Disorders,48803,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,146287,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,194547,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,168433,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,124049,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,35507,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,28586,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,87553,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,118856,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,154719,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,117260,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,31491,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,28001,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,82861,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,109918,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,147951,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,104785,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,30044,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,25873,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,76271,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,105724,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,205460,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,154271,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,42210,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,36689,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,108274,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,147560,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,202556,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,158534,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,43211,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,36334,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,109109,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,145897,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,191330,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,151013,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,39404,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,33188,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,101922,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,134522,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,174372,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,134277,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,36891,39.5657020878101,354.527679590522
Illinois,Midwest,Migraine Disorders,31310,1173.51431112226,17473.7046435504
Illinois,Midwest,Multiple Sclerosis,94502,3.36281776135228,126.779997782658
Illinois,Midwest,Parkinson Disease,124036,43.9804117819143,172.003919516365
Indiana,Midwest,Alzheimer's Disease,190661,214.833204188008,1640.36485485092
Indiana,Midwest,Brain Neoplasms,145899,8.83666787188063,23.3323332808357
