State,Region,Disease,KG_Pest,Incidence,Prevalence
Kansas,Midwest,Brain Neoplasms,372037030.7,9.11342971117137,26.3783184659831
Kansas,Midwest,Epilepsy,386365776.8,39.2077192155195,342.950365807196
Kansas,Midwest,Migraine Disorders,321994066,1180.83432649245,16944.82494575
Kansas,Midwest,Multiple Sclerosis,387307844.65,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,388534396.5,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,101073250.95,202.404492728947,1516.51883977495
Kentucky,Southeast,Brain Neoplasms,95062982.8,9.83311721623363,25.1464510013759
Kentucky,Southeast,Epilepsy,97193491.05,42.3829301931061,393.561658890618
Kentucky,Southeast,Migraine Disorders,81425087.55,1149.61470188107,17156.8321119236
Kentucky,Southeast,Multiple Sclerosis,97544401.05,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,101073728.6,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,149568325.6,194.612803801738,1488.53285357638
Louisiana,Southeast,Brain Neoplasms,137641229.55,7.80451027374807,17.4770005488858
Louisiana,Southeast,Epilepsy,143635879.05,42.9666750839048,390.906260307068
Louisiana,Southeast,Migraine Disorders,115999887.1,1174.95245953268,17211.2129132608
Louisiana,Southeast,Multiple Sclerosis,144104735.55,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,148620938.35,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,11198418.6,254.150005046145,1883.53602751439
Maine,Northeast,Brain Neoplasms,10417017.05,10.6096767432606,27.8411964716589
Maine,Northeast,Epilepsy,10689764.4,37.2507854287971,343.064644178192
Maine,Northeast,Migraine Disorders,9939239.6,1060.60003902106,17004.4641409534
Maine,Northeast,Multiple Sclerosis,11003831.9,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,11198963.4,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,40240883.35,202.47957256285,1540.06864073941
Maryland,Northeast,Brain Neoplasms,39321759.5,7.94741612852429,22.5014905226228
Maryland,Northeast,Epilepsy,39788164.45,39.46347745119,353.878574462453
Maryland,Northeast,Migraine Disorders,36060129.95,1167.1181522855,17752.900743255
Maryland,Northeast,Multiple Sclerosis,40062448.55,3.47711656822518,135.474778196827
