Type,Disease,Year,variable,value
SNPs,Alzheimer's Disease,1992,Incidence corr coefficient,0.0509527285440078
SNPs,Multiple Sclerosis,1992,Incidence corr coefficient,0.439741934398591
SNPs,Parkinson Disease,1992,Incidence corr coefficient,0.246540573481885
SNPs,Alzheimer's Disease,1993,Incidence corr coefficient,0.0577997343399697
SNPs,Multiple Sclerosis,1993,Incidence corr coefficient,0.469842155286425
SNPs,Parkinson Disease,1993,Incidence corr coefficient,0.260340151985784
SNPs,Alzheimer's Disease,1994,Incidence corr coefficient,0.111647358956038
SNPs,Multiple Sclerosis,1994,Incidence corr coefficient,0.520324314112494
SNPs,Parkinson Disease,1994,Incidence corr coefficient,0.305256232715282
SNPs,Alzheimer's Disease,1995,Incidence corr coefficient,0.0628176154302676
SNPs,Multiple Sclerosis,1995,Incidence corr coefficient,0.465904776984712
SNPs,Parkinson Disease,1995,Incidence corr coefficient,0.292236853234643
SNPs,Alzheimer's Disease,1996,Incidence corr coefficient,0.0211550391187588
SNPs,Multiple Sclerosis,1996,Incidence corr coefficient,0.472315863313052
SNPs,Parkinson Disease,1996,Incidence corr coefficient,0.285942615110239
SNPs,Alzheimer's Disease,1998,Incidence corr coefficient,-0.00116805447816176
SNPs,Multiple Sclerosis,1998,Incidence corr coefficient,0.475625980892422
SNPs,Parkinson Disease,1998,Incidence corr coefficient,0.323770446603991
SNPs,Alzheimer's Disease,1997,Incidence corr coefficient,-0.00214296552106419
SNPs,Multiple Sclerosis,1997,Incidence corr coefficient,0.453166854147958
SNPs,Parkinson Disease,1997,Incidence corr coefficient,0.297310262446011
SNPs,Alzheimer's Disease,1999,Incidence corr coefficient,0.0288219498722921
SNPs,Multiple Sclerosis,1999,Incidence corr coefficient,0.483450927037948
SNPs,Parkinson Disease,1999,Incidence corr coefficient,0.341982119294411
SNPs,Alzheimer's Disease,2000,Incidence corr coefficient,0.0417898860632266
SNPs,Multiple Sclerosis,2000,Incidence corr coefficient,0.47627057750364
SNPs,Parkinson Disease,2000,Incidence corr coefficient,0.353463945374469
SNPs,Alzheimer's Disease,2001,Incidence corr coefficient,0.0598101774804301
