variable,value,Pvalue,DPGenes,CDGenes,ORAp
Unique pathways,836,Fisher p < 0.001,20,20,0.001
Unique chem-dis,834,Fisher p < 0.001,20,20,0.001
Unique chem-path,112831,Fisher p < 0.001,20,20,0.001
Unique chem-path-dis,302442,Fisher p < 0.001,20,20,0.001
Unique chemicals,315,Fisher p < 0.01,10,3,0.01
Unique genes,3460,Fisher p < 0.01,10,3,0.01
Unique pathways,1424,Fisher p < 0.01,10,3,0.01
Unique chem-dis,1702,Fisher p < 0.01,10,3,0.01
Unique chem-path,191292,Fisher p < 0.01,10,3,0.01
Unique chem-path-dis,668476,Fisher p < 0.01,10,3,0.01
Unique chemicals,315,Fisher p < 0.01,10,3,0.001
Unique genes,3397,Fisher p < 0.01,10,3,0.001
Unique pathways,1285,Fisher p < 0.01,10,3,0.001
Unique chem-dis,1702,Fisher p < 0.01,10,3,0.001
Unique chem-path,180545,Fisher p < 0.01,10,3,0.001
Unique chem-path-dis,603281,Fisher p < 0.01,10,3,0.001
Unique chemicals,285,Fisher p < 0.01,10,5,0.01
Unique genes,3458,Fisher p < 0.01,10,5,0.01
Unique pathways,1424,Fisher p < 0.01,10,5,0.01
Unique chem-dis,1545,Fisher p < 0.01,10,5,0.01
Unique chem-path,188125,Fisher p < 0.01,10,5,0.01
Unique chem-path-dis,653633,Fisher p < 0.01,10,5,0.01
Unique chemicals,285,Fisher p < 0.01,10,5,0.001
Unique genes,3395,Fisher p < 0.01,10,5,0.001
Unique pathways,1285,Fisher p < 0.01,10,5,0.001
Unique chem-dis,1545,Fisher p < 0.01,10,5,0.001
Unique chem-path,177492,Fisher p < 0.01,10,5,0.001
Unique chem-path-dis,589755,Fisher p < 0.01,10,5,0.001
Unique chemicals,248,Fisher p < 0.01,10,10,0.01
Unique genes,3456,Fisher p < 0.01,10,10,0.01
Unique pathways,1424,Fisher p < 0.01,10,10,0.01
Unique chem-dis,1261,Fisher p < 0.01,10,10,0.01
Unique chem-path,179430,Fisher p < 0.01,10,10,0.01
Unique chem-path-dis,606314,Fisher p < 0.01,10,10,0.01
Unique chemicals,248,Fisher p < 0.01,10,10,0.001
Unique genes,3393,Fisher p < 0.01,10,10,0.001
Unique pathways,1285,Fisher p < 0.01,10,10,0.001
Unique chem-dis,1261,Fisher p < 0.01,10,10,0.001
Unique chem-path,169097,Fisher p < 0.01,10,10,0.001
Unique chem-path-dis,546438,Fisher p < 0.01,10,10,0.001
Unique chemicals,200,Fisher p < 0.01,10,20,0.01
Unique genes,3447,Fisher p < 0.01,10,20,0.01
Unique pathways,1424,Fisher p < 0.01,10,20,0.01
Unique chem-dis,839,Fisher p < 0.01,10,20,0.01
Unique chem-path,158751,Fisher p < 0.01,10,20,0.01
Unique chem-path-dis,481749,Fisher p < 0.01,10,20,0.01
Unique chemicals,200,Fisher p < 0.01,10,20,0.001
Unique genes,3384,Fisher p < 0.01,10,20,0.001
Unique pathways,1285,Fisher p < 0.01,10,20,0.001
Unique chem-dis,839,Fisher p < 0.01,10,20,0.001
Unique chem-path,148745,Fisher p < 0.01,10,20,0.001
Unique chem-path-dis,432249,Fisher p < 0.01,10,20,0.001
Unique chemicals,315,Fisher p < 0.01,20,3,0.01
Unique genes,3410,Fisher p < 0.01,20,3,0.01
Unique pathways,882,Fisher p < 0.01,20,3,0.01
Unique chem-dis,1702,Fisher p < 0.01,20,3,0.01
Unique chem-path,142081,Fisher p < 0.01,20,3,0.01
Unique chem-path-dis,443327,Fisher p < 0.01,20,3,0.01
Unique chemicals,315,Fisher p < 0.01,20,3,0.001
Unique genes,3365,Fisher p < 0.01,20,3,0.001
Unique pathways,836,Fisher p < 0.01,20,3,0.001
Unique chem-dis,1702,Fisher p < 0.01,20,3,0.001
Unique chem-path,137017,Fisher p < 0.01,20,3,0.001
Unique chem-path-dis,421437,Fisher p < 0.01,20,3,0.001
Unique chemicals,285,Fisher p < 0.01,20,5,0.01
Unique genes,3408,Fisher p < 0.01,20,5,0.01
Unique pathways,882,Fisher p < 0.01,20,5,0.01
Unique chem-dis,1545,Fisher p < 0.01,20,5,0.01
Unique chem-path,139606,Fisher p < 0.01,20,5,0.01
Unique chem-path-dis,432901,Fisher p < 0.01,20,5,0.01
Unique chemicals,285,Fisher p < 0.01,20,5,0.001
Unique genes,3363,Fisher p < 0.01,20,5,0.001
Unique pathways,836,Fisher p < 0.01,20,5,0.001
Unique chem-dis,1545,Fisher p < 0.01,20,5,0.001
Unique chem-path,134594,Fisher p < 0.01,20,5,0.001
Unique chem-path-dis,411529,Fisher p < 0.01,20,5,0.001
Unique chemicals,248,Fisher p < 0.01,20,10,0.01
Unique genes,3406,Fisher p < 0.01,20,10,0.01
Unique pathways,882,Fisher p < 0.01,20,10,0.01
Unique chem-dis,1261,Fisher p < 0.01,20,10,0.01
Unique chem-path,132813,Fisher p < 0.01,20,10,0.01
Unique chem-path-dis,401262,Fisher p < 0.01,20,10,0.01
Unique chemicals,248,Fisher p < 0.01,20,10,0.001
Unique genes,3361,Fisher p < 0.01,20,10,0.001
Unique pathways,836,Fisher p < 0.01,20,10,0.001
Unique chem-dis,1261,Fisher p < 0.01,20,10,0.001
Unique chem-path,127942,Fisher p < 0.01,20,10,0.001
Unique chem-path-dis,381331,Fisher p < 0.01,20,10,0.001
Unique chemicals,200,Fisher p < 0.01,20,20,0.01
Unique genes,3397,Fisher p < 0.01,20,20,0.01
Unique pathways,882,Fisher p < 0.01,20,20,0.01
Unique chem-dis,839,Fisher p < 0.01,20,20,0.01
Unique chem-path,117581,Fisher p < 0.01,20,20,0.01
Unique chem-path-dis,319852,Fisher p < 0.01,20,20,0.01
Unique chemicals,200,Fisher p < 0.01,20,20,0.001
Unique genes,3352,Fisher p < 0.01,20,20,0.001
Unique pathways,836,Fisher p < 0.01,20,20,0.001
Unique chem-dis,839,Fisher p < 0.01,20,20,0.001
Unique chem-path,112868,Fisher p < 0.01,20,20,0.001
Unique chem-path-dis,303365,Fisher p < 0.01,20,20,0.001
Unique chemicals,317,Fisher p < 0.05,10,3,0.01
Unique genes,3461,Fisher p < 0.05,10,3,0.01
Unique pathways,1424,Fisher p < 0.05,10,3,0.01
Unique chem-dis,1731,Fisher p < 0.05,10,3,0.01
Unique chem-path,191728,Fisher p < 0.05,10,3,0.01
Unique chem-path-dis,671341,Fisher p < 0.05,10,3,0.01
Unique chemicals,317,Fisher p < 0.05,10,3,0.001
Unique genes,3398,Fisher p < 0.05,10,3,0.001
Unique pathways,1285,Fisher p < 0.05,10,3,0.001
Unique chem-dis,1731,Fisher p < 0.05,10,3,0.001
Unique chem-path,180982,Fisher p < 0.05,10,3,0.001
Unique chem-path-dis,605857,Fisher p < 0.05,10,3,0.001
Unique chemicals,286,Fisher p < 0.05,10,5,0.01
Unique genes,3459,Fisher p < 0.05,10,5,0.01
Unique pathways,1424,Fisher p < 0.05,10,5,0.01
Unique chem-dis,1548,Fisher p < 0.05,10,5,0.01
Unique chem-path,188281,Fisher p < 0.05,10,5,0.01
Unique chem-path-dis,654202,Fisher p < 0.05,10,5,0.01
Unique chemicals,286,Fisher p < 0.05,10,5,0.001
Unique genes,3396,Fisher p < 0.05,10,5,0.001
Unique pathways,1285,Fisher p < 0.05,10,5,0.001
Unique chem-dis,1548,Fisher p < 0.05,10,5,0.001
Unique chem-path,177641,Fisher p < 0.05,10,5,0.001
Unique chem-path-dis,590269,Fisher p < 0.05,10,5,0.001
Unique chemicals,248,Fisher p < 0.05,10,10,0.01
Unique genes,3457,Fisher p < 0.05,10,10,0.01
Unique pathways,1424,Fisher p < 0.05,10,10,0.01
Unique chem-dis,1262,Fisher p < 0.05,10,10,0.01
Unique chem-path,179465,Fisher p < 0.05,10,10,0.01
Unique chem-path-dis,606650,Fisher p < 0.05,10,10,0.01
Unique chemicals,248,Fisher p < 0.05,10,10,0.001
Unique genes,3394,Fisher p < 0.05,10,10,0.001
